Country Name;Country Code;Indicator Name;Indicator Code;A1960;A1961;A1962;A1963;A1964;A1965;A1966;A1967;A1968;A1969;A1970;A1971;A1972;A1973;A1974;A1975;A1976;A1977;A1978;A1979;A1980;A1981;A1982;A1983;A1984;A1985;A1986;A1987;A1988;A1989;A1990;A1991;A1992;A1993;A1994;A1995;A1996;A1997;A1998;A1999;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015;A2016;A2017;A2018;A2019;A2020;A2021;A2022;A2023; 1960-1999 ; 2000-2023 ; SOMME_TOTAL ; TOT_DECES_GARCONS ; TOT_DECES_FILLE ;AGE_MOYEN;TAUX_PAUVRETE;TAUX_ACCES_SOIN_PRENATAUX ;TAUX_ACCOUCHEMTS_ASSITES;TAUX_ALPHABETISATION_FEMME;DEPENSES_SANTE_PAR_HABITANT;TAUX_VACC_NEO_BCG;INDICE_DEV_HUMAIN;TAUX_ACCES_EAU_POTABLE;TAUX_NATALITE
Dominique;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;40;36;33;31;29;27;25;24;23;22;21;21;21;22;20;20;20;18;19;19;18;18;19;19;18;17;16;16;16;18;17;19;18;17;18;18;19;19;20;19;20;20;20;20;20;22;21;22;22;23;24;24;25;0;0;683;450;1 133;329;804;82;61;58;14;30;62;16;7;65;17
Danemark;Nombre de décès néonataux;SH.DTH.NMRT;;1211;1204;1233;1194;1186;1180;1049;914;825;778;770;724;647;591;545;454;392;363;330;302;270;257;245;249;258;264;266;272;275;274;269;272;267;270;269;261;258;247;240;233;217;205;203;202;199;196;187;182;175;178;174;177;173;175;176;178;171;163;154;144;133;122;0;0;21 108;3 884;24 992;7 248;17 744;85;58;16;20;7;136;38;92;100;57
République dominicaine;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;7515;7559;7639;7625;7590;7613;7653;7693;7726;7748;7682;7597;7522;7367;7166;6952;6703;6457;6252;6132;5973;5789;5667;5546;5477;5441;5362;5278;5203;5145;5098;5034;4997;4924;4850;4881;4912;4861;4823;4793;4783;4785;4771;4847;5009;5157;5231;5255;5242;5236;5229;5236;5219;5202;5160;5020;4841;4700;4554;0;0;235 768;109 954;345 722;110 631;235 091;72;72;0;16;50;65;35;34;89;52
Algérie;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;45835;45378;44570;43735;42935;42029;41852;41530;40500;39573;38747;37016;34587;31623;28701;26133;23627;21835;20511;19718;18967;18843;18908;18551;18054;16687;15473;14489;13760;13523;13411;13272;13194;13461;13647;13854;14056;14413;14787;15189;15520;15791;16053;15755;15595;15432;15396;15681;15966;15958;15512;14813;14010;0;0;891 101;327 355;1 218 456;389 906;828 550;32;32;24;7;27;283;34;34;6;45
Asie de l’Est et Pacifique (hors revenu élevé);Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1189389;1023626;953353;904255;857525;819985;769911;723751;679839;643836;631106;581821;545510;503854;477409;450246;426960;407805;389560;368329;345290;326336;319271;295607;282173;260665;251456;240051;218058;206203;190434;179031;172426;0;0;9 196 576;7 438 495;16 635 071;1 996 209;14 638 862;42;82;22;11;32;142;10;83;37;40
de dividende précoce démographique;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3101430;3057602;3003431;2937679;2885076;2815413;2749752;2688598;2622131;2554307;2496232;2442426;2364702;2281974;2209239;2132490;2063544;2012642;1957860;1902417;1844189;1785210;1725116;1663139;1585761;1531483;1479810;1419171;1373102;1311184;1253096;1205628;1162475;0;0;30 911 651;38 706 658;69 618 309;8 354 197;61 264 112;35;0;56;13;46;346;18;47;66;6
Asie de l’Est et Pacifique;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1199320;1033149;962357;912609;865411;827290;776746;730140;685794;649402;636440;586712;550067;508135;481423;453980;430559;411346;392960;371544;348402;329334;322204;298420;284867;263303;253972;242415;220323;208347;192496;181045;174393;0;0;9 278 658;7 506 247;16 784 905;2 014 189;14 770 716;30;90;53;2;9;289;24;78;47;30
Europe et Asie centrale (hors revenu élevé);Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118274;115542;111260;107550;103555;99131;94438;89031;83631;77951;73210;69635;64550;60761;58765;56663;55235;53847;52532;50237;47201;44490;42349;40538;39129;37479;35567;33439;32195;30783;29544;28021;26556;0;0;1 073 573;989 516;2 063 089;268 202;1 794 887;29;41;55;8;18;346;39;52;28;63
Europe et Asie centrale;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176602;169484;161124;153655;147354;140061;133121;125403;118047;110464;104887;100173;94213;89531;86558;83211;80862;78696;76871;73800;70449;67388;65298;62799;60804;58049;55071;51420;49063;46474;44239;42035;40036;0;0;1 540 202;1 477 040;3 017 242;392 241;2 625 001;26;21;2;8;10;135;17;95;45;18
Équateur;Nombre de décès néonataux;SH.DTH.NMRT;12369;12560;12691;12782;12828;12805;12693;12619;12525;12429;12249;12063;11893;11695;11459;11208;10937;10665;10407;10152;9881;9583;9271;8966;8636;8277;7956;7654;7395;7185;7000;6832;6667;6475;6272;6037;5791;5480;5130;4807;4508;4252;4034;3847;3675;3516;3378;3248;3123;3004;2887;2785;2626;2450;2304;2188;2103;2071;2043;2034;2019;1995;1952;0;0;376 463;61 534;437 997;56 940;381 057;28;34;21;3;40;199;29;70;24;49
 République arabe d’Égypte;EGY;Nombre de décès néonataux;SH.DTH.NMRT;86441;85963;85544;85391;85034;84509;85159;85780;86697;87730;88709;90105;91364;91542;92301;92958;93188;93215;93552;93702;92113;90037;88655;87267;84185;81108;77711;74608;71276;67433;63648;60469;58791;55898;53170;50780;48623;47122;46106;44651;43306;42372;41260;40565;39570;38896;37847;37318;36371;35630;35833;35274;35279;35148;34519;33514;30435;29144;27906;26291;25194;24220;23274;0;3 122 535;789 166;3 911 701;1 212 627;2 699 074;58;40;85;1;35;160;22;5;85;6
Zone euro;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17749;16881;16012;14855;13775;12990;12507;12016;11443;11032;10779;10290;9931;9635;9386;9044;8822;8614;8584;8328;8198;7940;7754;7540;7538;7449;7441;7261;7060;6866;6678;6597;6455;0;0;150 039;177 411;327 450;101 510;225 941;48;22;65;16;36;285;13;50;23;46
Érythrée;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3194;3201;3211;3224;3246;3279;3294;3312;3319;3319;3311;3270;3211;3141;2674;2590;2669;2584;2867;2709;2594;2485;2455;2393;2482;2472;2599;2580;2558;2460;2407;2408;2346;2299;2237;2165;2116;2022;1957;1898;1855;1832;1803;1797;1771;0;0;69 159;48 457;117 616;36 461;81 155;22;7;21;1;49;186;32;100;56;71
Espagne;Nombre de décès néonataux;SH.DTH.NMRT;;13360;13804;14012;14113;13387;13059;13064;12535;11896;11114;10695;10021;9389;9016;8357;7958;7235;6464;5632;5026;4542;4181;3656;3198;2823;2590;2445;2295;2115;1957;1826;1728;1587;1435;1317;1238;1179;1108;1096;1109;1108;1110;1139;1136;1114;1101;1089;1116;1055;1027;989;942;870;844;811;777;733;685;652;636;632;614;0;0;253 562;20 180;273 742;84 860;188 882;43;80;43;9;23;91;35;94;13;10
Estonie;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;219;192;178;149;132;117;104;89;78;72;69;61;57;53;51;48;46;44;40;36;33;28;25;22;20;19;18;16;16;14;13;12;11;0;0;1 643;683;2 326;721;1 605;72;31;18;7;5;65;2;11;89;27
Éthiopie;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115845;118814;119957;120124;125260;128142;130912;133317;135004;136556;138275;140659;143351;145404;147461;148348;148072;147450;147622;147044;145507;144971;144000;143584;142513;140292;139500;138539;137173;135446;132416;128646;125870;123181;119516;116079;114554;113923;113121;112082;111677;111930;110482;108851;106535;0;0;3 152 095;2 725 910;5 878 005;2 409 982;3 468 023;83;6;14;0;44;201;31;88;93;4
Union européenne;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32441;30443;28567;26557;24758;22747;21407;20109;18807;17757;17083;16138;15486;15024;14611;14116;13653;13217;13117;12642;12204;11553;11221;10770;10713;10486;10411;10161;9800;9448;9150;8997;8812;0;0;260 676;261 730;522 406;214 186;308 220;51;3;32;7;28;40;33;3;32;64
Fragile et les situations de conflit touchées;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;868077;874283;882192;897260;907481;922619;927618;926212;923445;927765;930013;927701;926403;926765;925015;923004;924349;925257;923798;925375;927421;928957;928261;926543;926581;928599;927390;925481;923811;922076;918570;916167;909942;0;0;9 986 965;20 337 466;30 324 431;3 335 687;26 988 744;45;76;10;19;15;155;21;80;9;63
Finlande;Nombre de décès néonataux;SH.DTH.NMRT;;1235;1198;1166;1100;1016;963;915;838;745;680;612;556;507;514;502;474;428;386;351;323;303;299;292;278;265;253;247;253;250;251;243;236;220;209;192;178;165;154;148;140;133;127;124;123;119;117;113;109;105;100;94;88;83;80;76;73;69;65;63;63;63;63;0;0;19 085;2 050;21 135;8 665;12 470;49;10;31;19;49;237;19;78;69;69
Fidji;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;285;268;253;239;229;221;212;205;202;202;207;216;227;238;242;242;229;212;193;177;166;161;161;165;173;182;194;208;224;236;245;248;0;0;2 616;4 546;7 162;2 936;4 226;55;2;56;10;25;54;6;84;67;11
France;Nombre de décès néonataux;SH.DTH.NMRT;;14458;13389;13675;13873;13521;12708;11278;9843;8600;7796;7693;7556;7167;6632;6015;5656;5537;5081;4708;4531;4321;4108;3729;3595;3461;3351;3167;3039;2886;2721;2542;2356;2192;2158;2199;2202;2153;2142;2092;2103;2083;2039;1979;1915;1860;1875;1837;1857;1848;1855;1817;1804;1805;1842;1839;1841;1832;1815;1789;1738;1728;1712;0;0;236 234;40 710;276 944;30 464;246 480;50;18;30;10;39;101;39;77;61;50
Îles Féroé;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;56;60;49;3;27;295;12;0;13;37
 États fédérés deMicronésie;FSM;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;81;80;81;81;81;80;79;78;75;73;69;66;63;61;59;56;55;52;50;47;46;44;42;40;38;37;36;34;33;32;31;30;0;798;1 094;1 892;208;1 684;72;23;26;8;1;169;9;6;68;70
Gabon;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;967;981;1000;1020;1037;1054;1068;1084;1101;1122;1141;1151;1162;1172;1180;1185;1175;1164;1156;1162;1171;1177;1194;1205;1214;1223;1237;1252;1270;1291;1312;1344;1373;1393;1393;1389;1381;1368;1344;1319;1290;1264;1236;1204;1173;0;0;25 624;28 475;54 099;10 820;43 279;62;39;47;1;46;79;12;8;14;21
Royaume-Uni;Nombre de décès néonataux;SH.DTH.NMRT;;14796;14741;14395;14254;13665;13083;12487;11951;11368;10999;10807;9798;8891;8197;7504;6918;6313;6047;5909;5595;5046;4655;4384;4199;4115;3968;3880;3753;3581;3557;3476;3388;3273;3150;2988;2896;2821;2759;2671;2552;2467;2422;2469;2501;2489;2524;2544;2531;2455;2432;2373;2314;2173;2125;2129;2142;2113;2066;2013;1917;1885;1847;0;0;278 830;49 931;328 761;39 451;289 310;66;66;25;0;38;290;5;1;87;59
Géorgie;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2696;2683;2667;2644;2624;2618;2633;2627;2588;2497;2456;2473;2489;2384;2194;2013;1848;1722;1602;1490;1377;1266;1172;1059;969;888;840;782;718;673;646;625;584;533;487;455;424;398;361;325;301;275;263;270;262;0;0;50 763;12 138;62 901;7 548;55 353;54;20;80;6;31;199;1;77;64;44
Ghana;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;22825;23301;23808;24397;24823;25183;25388;25581;25695;25726;25721;25859;26219;26681;27294;27823;28131;28596;29014;28740;28396;27904;27259;26640;26225;25856;25476;25196;24748;24651;24420;24518;24701;24916;25270;25173;25102;25038;25019;25588;25390;25266;25202;25133;25133;25017;24831;24457;23782;23535;22517;21236;21069;20598;20054;19545;19082;0;0;906 981;517 767;1 424 748;142 475;1 282 273;57;19;23;15;19;235;9;74;79;60
Gibraltar;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;59;86;53;13;17;253;2;69;54;68
Guinée;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15340;15874;16508;17026;17498;17935;18202;18311;18329;18315;18310;18277;18233;18200;18624;18987;19137;19233;19087;19106;18706;17664;16978;16230;15524;14938;14715;14610;14512;14401;14412;14506;14652;14726;14748;14704;14685;14725;14878;14885;14798;14732;14705;14695;14648;14540;0;0;430 110;323 739;753 849;143 231;610 618;62;24;55;1;44;55;39;29;81;72
Gambie;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2335;2380;2423;2461;2489;2496;2493;2499;2512;2498;2491;2500;2506;2527;2556;2585;2628;2635;2637;2642;2637;2635;2618;2585;2534;2482;2419;2366;2310;2266;2229;2193;2161;0;0;27 077;54 651;81 728;15 528;66 200;65;90;5;13;45;32;9;48;62;7
Guinée-Bissau;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2808;2807;2758;2756;2807;2860;2920;2945;2950;2943;2916;2890;2875;2859;2881;2895;2899;2902;2898;2901;2840;2774;2714;2694;2663;2624;2561;2498;2436;2354;2314;2270;2240;2198;2164;0;0;37 235;57 579;94 814;18 015;76 799;45;75;58;11;14;243;31;27;27;43
Guinée équatoriale;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1061;1089;1115;1141;1167;1191;1212;1234;1256;1275;1298;1326;1361;1392;1417;1437;1450;1461;1469;1478;1496;1508;1519;1525;1526;1522;1512;1494;1477;1461;1446;1419;1392;0;0;13 039;32 088;45 127;9 477;35 650;50;82;63;19;36;108;32;11;9;54
Grèce;Nombre de décès néonataux;SH.DTH.NMRT;;3256;3229;3170;3195;3199;3237;3250;3127;3015;2994;2898;2736;2543;2488;2443;2412;2301;2190;2074;1947;1779;1635;1487;1337;1191;1067;953;861;775;717;679;659;645;633;610;581;543;501;462;432;394;357;322;295;277;264;252;247;242;239;233;230;228;229;229;227;218;210;201;197;189;180;0;0;73 251;5 460;78 711;14 168;64 543;58;23;4;14;1;119;40;25;24;61
Grenade;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;32;28;24;22;20;19;18;16;15;15;15;15;15;15;15;15;15;16;17;17;18;19;19;20;20;20;20;20;20;20;20;20;0;0;243;391;634;114;520;57;53;69;8;1;268;30;54;37;39
Groenland;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;62;28;26;16;9;217;5;29;25;59
Guatemala;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;12719;12840;12898;12911;12920;12887;12842;12754;12666;12565;12420;12377;12099;11972;11854;11805;11665;11593;11245;10901;10640;10523;10461;10431;10326;10154;9994;9895;9774;9678;9552;9387;9231;9088;8843;8698;8558;8279;7987;7724;7450;7219;7064;6844;6674;6454;6257;6072;5827;5651;5482;5305;5051;4789;4481;4180;3963;3828;0;0;402 608;135 139;537 747;107 549;430 198;64;58;53;13;46;14;27;69;91;43
Guam;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;72;69;67;11;40;84;29;73;51;49
Guyana;Nombre de décès néonataux;SH.DTH.NMRT;978;965;954;945;936;930;926;919;909;902;894;878;870;863;848;833;822;811;801;791;776;779;777;774;765;752;739;726;714;700;683;666;661;655;645;634;618;600;581;558;535;513;490;469;452;436;421;407;395;383;373;363;352;345;335;325;314;303;292;299;280;272;259;0;0;31 135;8 078;39 213;7 843;31 370;82;87;21;9;7;255;15;8;24;76
Revenu élevé;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92070;87277;82921;78138;73885;69506;66456;63586;60994;58560;57191;55137;53638;52533;51158;49769;49312;48749;47714;45887;44416;43124;42426;41267;40666;39704;38751;37518;36409;35351;33914;32627;31190;0;0;790 584;951 260;1 741 844;400 624;1 341 220;70;27;80;17;10;322;40;49;89;15
 RAS de Hong KongChine;HKG;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;65;61;41;5;27;277;9;85;73;25
Honduras;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;5277;5326;5279;5288;5272;5264;5253;5210;5142;5043;4948;4829;4718;4621;4515;4408;4301;4209;4132;4077;4052;4035;4026;4035;4048;4166;4066;4021;3918;3782;3650;3538;3442;3361;3275;3188;3089;2982;2872;2763;2659;2563;2474;2390;2316;2247;2182;2112;2042;1977;0;0;129 561;62 822;192 383;44 248;148 135;32;69;41;10;43;20;12;4;30;66
Pays pauvres très endettés (PPTE);Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792372;794325;799505;812269;820905;829313;835376;837244;836205;837101;834984;828927;824344;823767;822024;820275;820992;819400;813227;812228;810767;806631;802943;799372;797556;798490;796467;796213;796236;795894;792941;790011;784490;0;0;9 029 599;17 753 195;26 782 794;2 678 279;24 104 515;37;27;86;14;35;78;27;32;14;15
Croatie;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;875;847;790;705;623;548;485;460;430;382;367;351;343;336;329;282;266;253;237;217;201;191;188;175;169;171;169;159;145;139;130;125;117;113;109;109;107;103;96;90;0;0;8 672;3 260;11 932;1 193;10 739;40;43;24;20;9;153;10;19;55;70
Haïti;Nombre de décès néonataux;SH.DTH.NMRT;15240;15368;15506;15602;15696;15680;15630;15596;15512;15414;15277;15073;14830;14541;14472;14406;14323;14184;13963;13732;13468;13235;13048;12739;12515;12324;12077;11744;11297;10845;10432;9879;9522;9217;8985;8765;8584;8402;8208;8066;8018;7855;7781;7804;7835;7852;7848;7815;7795;7804;8074;7763;7647;7537;7467;7400;7303;7203;7028;6903;6767;6595;6427;0;0;506 175;164 503;670 678;67 068;603 610;29;48;16;15;36;164;14;45;25;13
Hongrie;Nombre de décès néonataux;SH.DTH.NMRT;;3854;3525;3550;3602;3699;3868;4106;4221;4260;4255;4247;4288;4338;5030;4972;4430;3878;3309;2896;2529;2297;2074;1930;1883;1912;1810;1646;1498;1423;1405;1335;1190;1042;941;846;745;671;617;573;559;527;493;451;422;401;387;367;359;338;307;289;282;270;265;247;239;224;211;204;202;201;202;0;0;105 254;6 888;112 142;11 214;100 928;22;5;59;3;11;128;29;10;98;71
BIRD seulement;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3301507;3094772;2977405;2875318;2783817;2690692;2587401;2488859;2394626;2305401;2249791;2156393;2055669;1957791;1875499;1788118;1708256;1641232;1579115;1519367;1452720;1390405;1338800;1271688;1201830;1144520;1098665;1040642;984178;920068;858524;813975;777268;0;0;29 749 589;30 574 723;60 324 312;10 255 133;50 069 179;42;75;47;5;14;343;8;3;61;57
BIRD et IDA;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5122859;4912371;4794571;4695614;4610856;4515285;4407541;4302002;4194459;4096758;4028579;3920878;3804479;3688000;3587150;3481626;3390226;3319607;3247002;3179201;3104996;3032683;2970097;2890248;2805502;2734075;2675789;2603727;2536284;2461077;2385716;2327612;2274979;0;0;49 680 895;66 420 954;116 101 849;19 737 314;96 364 535;30;24;15;14;37;285;39;1;71;10
IDA totale;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1821352;1817599;1817166;1820296;1827039;1824593;1820140;1813143;1799833;1791357;1778788;1764485;1748810;1730209;1711651;1693508;1681970;1678375;1667887;1659834;1652276;1642278;1631297;1618560;1603672;1589555;1577124;1563085;1552106;1541009;1527192;1513637;1497711;0;0;19 931 306;35 846 231;55 777 537;13 944 384;41 833 153;22;27;77;1;32;236;14;6;29;37
IDA mélange;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;616216;627266;636674;639207;646579;649848;653089;652428;652149;654389;654582;657013;656855;651102;646741;644122;643622;651348;656737;661030;665046;667095;665847;661898;655275;647916;643490;638175;633173;627183;620527;613688;607154;0;0;7 082 427;14 215 037;21 297 464;5 324 366;15 973 098;32;58;75;15;30;94;9;34;5;7
Indonésie;Nombre de décès néonataux;SH.DTH.NMRT;230481;231948;233146;233742;234458;237122;233225;231549;229172;227658;225446;222701;220001;217398;212295;209551;205495;201928;199486;196694;193080;188741;185091;179208;173376;164214;157369;154115;151462;147842;143462;142522;138151;135322;132769;129863;126871;123213;117218;111289;106975;103244;99638;96735;95224;93989;93452;93526;91421;88028;84863;83346;80051;75057;70953;66870;63338;59765;56968;54515;52215;50056;47963;0;0;7 305 168;1 701 217;9 006 385;2 251 596;6 754 789;42;50;53;18;1;308;39;45;42;30
IDA seulement;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1205136;1190333;1180492;1181089;1180460;1174745;1167051;1160715;1147684;1136968;1124206;1107472;1091955;1079107;1064910;1049386;1038348;1027027;1011150;998804;987230;975183;965450;956662;948397;941639;933634;924910;918933;913826;906665;899949;890557;0;0;12 848 879;21 631 194;34 480 073;8 620 018;25 860 055;62;85;34;10;50;341;16;70;74;78
Île de Man;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;42;85;50;14;27;271;30;21;64;18
Inde;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;1866888;1890322;1903136;1915350;1918219;1898266;1891891;1857345;1833055;1825611;1825495;1817487;1795371;1779157;1767692;1741965;1733729;1690103;1658659;1623387;1582956;1560777;1532864;1498890;1473723;1446497;1412987;1379211;1344037;1305900;1277526;1247222;1197889;1146106;1098206;1045669;996774;956553;918957;885810;846106;806132;765245;726754;675063;644558;616231;577586;548960;505342;467404;441094;417860;0;0;52 048 496;17 531 521;69 580 017;15 307 604;54 272 413;35;13;51;13;43;5;31;82;35;38
Non classifié;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;22;30;52;4;31;32;40;55;45;79
Irlande;Nombre de décès néonataux;SH.DTH.NMRT;;1189;1155;1132;1104;1058;993;931;877;856;837;838;828;824;811;765;728;686;637;592;546;489;445;398;360;330;309;285;262;246;245;239;227;213;203;201;204;210;215;215;216;219;220;211;197;180;175;180;185;186;186;185;180;172;165;157;148;140;138;132;128;123;119;0;0;22 899;3 726;26 625;5 858;20 768;52;40;14;13;46;180;18;88;61;30
 République islamique d’Iran;IRN;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44941;43618;40209;36534;30941;27401;24620;22639;21722;21240;20825;20294;19655;18811;18466;18131;17965;17844;17570;17149;16702;16492;16601;16544;16414;15793;15149;14407;13056;11200;10214;9519;8940;0;313 865;367 741;681 606;149 953;531 653;30;8;21;11;12;320;21;73;31;71
Iraq;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17663;17650;17489;17585;17806;18084;18482;18243;18438;18835;19638;19868;20110;20568;20855;21124;21320;21406;21366;21527;21783;21700;21778;20920;20369;20790;21201;21727;21567;21489;21236;20211;19146;18167;17701;17302;16901;16527;16164;0;0;323 758;440 978;764 736;168 242;596 494;25;7;90;11;47;341;14;80;39;18
